epoch,lr-AdamW,step,test/loss,test/mae,test/mse,test/pearson,test/r2,test/spearman,train/loss_epoch,train/loss_step,train/mae,train/mse,train/pearson,train/r2,train/spearman,val/loss,val/mae,val/mse,val/pearson,val/r2,val/spearman
,0.0001,0,,,,,,,,,,,,,,,,,,,
0,,9,,,,,,,,1.2605823278427124,,,,,,,,,,,
0,,19,,,,,,,,1.054767370223999,,,,,,,,,,,
0,,29,,,,,,,,1.8218019008636475,,,,,,,,,,,
0,,39,,,,,,,,1.251490831375122,,,,,,,,,,,
0,,49,,,,,,,,1.0812989473342896,,,,,,,,,,,
0,,59,,,,,,,,0.90814208984375,,,,,,,,,,,
0,,69,,,,,,,,0.8175904750823975,,,,,,,,,,,
0,,79,,,,,,,,2.1768226623535156,,,,,,,,,,,
0,,89,,,,,,,,1.444566249847412,,,,,,,,,,,
0,,99,,,,,,,,1.6294695138931274,,,,,,,,,,,
0,,109,,,,,,,,0.5875133275985718,,,,,,,,,,,
0,,119,,,,,,,,0.5083627700805664,,,,,,,,,,,
0,,129,,,,,,,,1.5398869514465332,,,,,,,,,,,
0,,139,,,,,,,,1.6958842277526855,,,,,,,,,,,
0,,149,,,,,,,,1.4616382122039795,,,,,,,,,,,
0,,159,,,,,,,,0.3617098927497864,,,,,,,,,,,
0,,169,,,,,,,,1.426986575126648,,,,,,,,,,,
0,,179,,,,,,,,0.9622182846069336,,,,,,,,,,,
0,,189,,,,,,,,0.8523653149604797,,,,,,,,,,,
0,,199,,,,,,,,0.4549611806869507,,,,,,,,,,,
0,,209,,,,,,,,2.1348912715911865,,,,,,,,,,,
0,,219,,,,,,,,1.0023915767669678,,,,,,,,,,,
0,,229,,,,,,,,0.9723430275917053,,,,,,,,,,,
0,,239,,,,,,,,0.8911210894584656,,,,,,,,,,,
0,,249,,,,,,,,1.2935361862182617,,,,,,,,,,,
0,,259,,,,,,,,1.0025826692581177,,,,,,,,,,,
0,,269,,,,,,,,1.084233283996582,,,,,,,,,,,
0,,279,,,,,,,,0.5635553002357483,,,,,,,,,,,
0,,289,,,,,,,,1.2799031734466553,,,,,,,,,,,
0,,299,,,,,,,,1.6475212574005127,,,,,,,,,,,
0,,309,,,,,,,,1.2442786693572998,,,,,,,,,,,
0,,319,,,,,,,,0.7023682594299316,,,,,,,,,,,
0,,329,,,,,,,,0.9112292528152466,,,,,,,,,,,
0,,339,,,,,,,,0.742605984210968,,,,,,,,,,,
0,,349,,,,,,,,0.7836928963661194,,,,,,,,,,,
0,,359,,,,,,,,0.6917980909347534,,,,,,,,,,,
0,,369,,,,,,,,1.3818355798721313,,,,,,,,,,,
0,,379,,,,,,,,1.081851601600647,,,,,,,,,,,
0,,389,,,,,,,,1.549465298652649,,,,,,,,,,,
0,,399,,,,,,,,0.8772491216659546,,,,,,,,,,,
0,,409,,,,,,,,0.7083120346069336,,,,,,,,,,,
0,,419,,,,,,,,0.927582859992981,,,,,,,,,,,
0,,429,,,,,,,,1.015944242477417,,,,,,,,,,,
0,,439,,,,,,,,1.6295980215072632,,,,,,,,,,,
0,,449,,,,,,,,0.8385986089706421,,,,,,,,,,,
0,,459,,,,,,,,0.6190149784088135,,,,,,,,,,,
0,,469,,,,,,,,0.9575657844543457,,,,,,,,,,,
0,,479,,,,,,,,0.7885233163833618,,,,,,,,,,,
0,,489,,,,,,,,1.19801926612854,,,,,,,,,,,
0,,499,,,,,,,,0.9645994901657104,,,,,,,,,,,
0,,509,,,,,,,,1.5567994117736816,,,,,,,,,,,
0,,519,,,,,,,,0.7110368013381958,,,,,,,,,,,
0,,529,,,,,,,,0.8812513947486877,,,,,,,,,,,
0,,539,,,,,,,,1.0200644731521606,,,,,,,,,,,
0,,549,,,,,,,,0.6124444603919983,,,,,,,,,,,
0,,559,,,,,,,,0.7960032224655151,,,,,,,,,,,
0,,569,,,,,,,,0.7654817700386047,,,,,,,,,,,
0,,579,,,,,,,,1.7971913814544678,,,,,,,,,,,
0,,589,,,,,,,,0.8067508935928345,,,,,,,,,,,
